Food Item,Data Source,Portion,Energy (kcal),Protein (g),Carbohydrate (g),Total Fat (g),Dietary Fibre (g),Sugars (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
"Crustaceans, crab, dungeness, cooked, moist heat",A,100g,110,22.32,0.95,1.24,0,,0.168,,76,378
"Crustaceans, crab, blue, canned",A,100g,99,20.52,0,1.23,0,0,0.252,,89,333
"Mollusks, clam, mixed species, canned, drained solids",A,100g,148,25.55,5.13,1.95,0,0,0.188,,67,112
"Crustaceans, crab, blue, cooked, moist heat",A,100g,102,20.2,0,1.77,0,0,0.228,,100,279
"Mollusks, clam, mixed species, cooked, moist heat",A,100g,148,25.55,5.13,1.95,0,,0.188,,67,112
"Mollusks, whelk, unspecified, cooked, moist heat",A,100g,275,47.68,15.52,0.8,0,,0.062,,130,412
"Mussel, marine, dried",B,100g,355,47.8,20.1,9.3,,,,,493,779
"Prawn, marine",B,100g,93,18.6,2.8,0.8,,,,,193,165.2
"“Rice-paddy field” snail, globular, freshwater",B,100g,60,11,3.6,0.2,,,,,154,26
"Multicolored abalone, marine",B,100g,84,12.6,6.6,0.8,,,,,242,2011.7
"Mussel, marine",B,100g,80,11.4,4.7,1.7,,,,,123,451.4
"“Oriental jumbo” prawn, marine",B,100g,84,18.3,1.6,0.5,,,,,183,133.6
"Blue crab meat, marine",B,100g,62,11.6,1.1,1.2,,,,,65,270
"Silver ark shell, marine",B,100g,71,12.2,2.3,1.4,,,,,89,280.1
"“Long feeler” prawn, marine",B,100g,90,18.5,3,0.4,,,,,136,208.8
"“Swimming” crab, marine",B,100g,95,15.9,0.9,3.1,,,,,142,481.4
"Scallop, marine",B,100g,77,15.7,2.5,0.5,,,,,116,120
"Prawn “Banjie”, marine",B,100g,103,18.6,5.4,0.8,,,,,148,168.8
Blue crab,B,100g,80,14.6,1.7,1.6,,,,,119,192.9
"“White rice”, shrimp, small, freshwater",B,100g,81,17.3,2,0.4,,,,,103,90.7
"“Mitten” crab, freshwater",B,100g,103,17.5,2.3,2.6,,,,,267,193.5
"Octopus, marine",B,100g,52,10.6,1.4,0.4,,,,,114,288.1
"“Comb-slit” scallop, marine, dried",B,100g,264,55.6,5.1,2.4,,,,,348,306.4
“Stone field” snail,B,100g,90,12.8,8.2,0.7,,,,,198,13
Sea crab,B,100g,95,13.8,4.7,2.3,,,,,125,260
"Cuttlefish roe, marine",B,100g,66,14.1,0,1.1,,,,,243,126.8
"“Comb-slit” scallop, fan-shell, marine",B,100g,60,11.1,2.6,0.6,,,,,140,339
"Snail, freshwater",B,100g,59,7.5,6,0.6,,,,,86,252.6
"Shrimp head paste, marine",B,100g,100,15.2,0,4.3,,,,,249,1790
"Squid, marine, soaked in water",B,100g,75,17,0,0.8,,,,,,134.7
Blood ark shell,B,100g,71,10,6,0.8,,,,,124,354.9
"Yellow snail, globular, freshwater",B,100g,106,19.8,4.5,1,,,,,167,129.4
"Shrimp, white, small to medium, dried, marine",B,100g,198,43.7,0,2.6,,,,,525,4891.9
"Squid, marine, dried",B,100g,313,60,7.8,4.6,,,,,871,965.3
"Oyster, marine",B,100g,57,10.9,0,1.5,,,,,94,270
"Crawfish, freshwater",B,100g,93,14.8,0,3.8,,,,,,225.2
"Japanese cuttlefish, marine, dried",B,100g,287,65.3,2.1,1.9,,,,,316,1744
"Clam, freshwater",B,100g,47,7,1.7,1.4,,,,,257,18.4
"Red snail, freshwater",B,100g,119,20.2,7.6,0.9,,,,,177,219.6
"“Hairy” shrimp, dried, marine",B,100g,153,30.7,2.5,2.2,,,,,428,5057.7
"Japanese cuttlefish, marine",B,100g,83,15.2,3.4,0.9,,,,,226,165.5
"Mussel, freshwater",B,100g,54,10.9,0.7,0.8,,,,,103,17.4
Snail (Mean),B,100g,100,15.7,6.6,1.2,,,,,,153.3
"Shrimp, small, freshwater",B,100g,96,21.2,0,1.2,,,,,264,109
"Jellyfish head, marine",B,100g,74,6,11.8,0.3,,,,,10,467.7
"Infla ark shell, marine",B,100g,61,13.9,0,0.6,,,,,144,266.1
"“Multicolor” surf clam, marine",B,100g,53,7.5,0.7,2.2,,,,,106,494.6
"Jellyfish body, marine",B,100g,33,3.7,3.8,0.3,,,,,8,325
"Razor clam, marine, dried",B,100g,340,46.5,27.4,4.9,,,,,469,1175
"Surf clam, marine",B,100g,56,8.9,0.8,1.9,,,,,74,577.7
"Prawn, freshwater",B,100g,85,13.4,3.8,1.8,,,,,273,119
"“Autumn” surf clam, autumn, marine",B,100g,89,15.6,5,0.7,,,,,180,492.3
"Lobster, marine",B,100g,90,18.9,1,1.1,,,,,121,190
"Japanese sea cucumber, marine, soaked in water",B,100g,25,6,0,0.1,,,,,50,80.9
“Mogai” clam,B,100g,97,15,7.1,1,,,,,113,363
"Shrimp “Jiwei”, marine",B,100g,101,18.2,3.9,1.4,,,,,181,172
"Japanese sea cucumber, marine, dried",B,100g,262,50.2,4.5,4.8,,,,,62,4968
"Razor clam, marine",B,100g,40,7.3,2.1,0.3,,,,,131,175.9
"Venus clam, marine",B,100g,45,7.7,2.2,0.6,,,,,63,309
"Shrimp, freshwater",B,100g,87,16.4,0,2.4,,,,,240,133.8
"Japanese sea cucumber, fresh, marine",B,100g,78,16.5,2.5,0.2,,,,,51,502.9
"Clam, marine (Mean)",B,100g,62,10.1,2.8,1.1,,,,,156,425.7
"Shrimp, marine",B,100g,79,16.8,1.5,0.6,,,,,117,302.2
"“Fragrant” sea snail, marine",B,100g,163,22.7,10.1,3.5,,,,,195,278.9
"Multicolored abalone, marine, dried",B,100g,322,54.1,13.7,5.6,,,,,,2316.2
"Scallop, raw",D,100g,84,15.6,3.4,0.8,0,0.8,0.14,0.00955,42,150
"Prawn, flesh, raw (green)",D,100g,91,20.7,0,0.8,0,0,0.15,0.0008,406,345
"Oyster, aquacultured, raw",D,100g,64,10.1,0.6,2.3,0,0,0.5,0.00515,68,535
"Lobster, southern rock, wild, flesh, purchased steamed or boiled",D,100g,98,22.5,0,0.8,0,0,0.13,0.00092,262,283
"Crab, flesh, purchased steamed or boiled",D,100g,88,20.2,0,0.7,0,0,0.14,0.01012,97,420
"Squid or calamari, raw",D,100g,78,16.7,0,1.2,0,0,0.31,0.01433,199,284
"Prawn, giant tiger, boiled",E,100g,78,17.8,0,0.7,0,0,,,178,691
"Prawn, giant tiger, headless, frozen",E,100g,88,20,0,0.9,,0,,,181,114
"Mantis shrimp, flesh, raw",E,100g,77,17.2,1.9,0.1,,,,,,
"Mollusks, scallop, mixed species, imitation, made from surimi",A,100g,99,12.77,10.62,0.41,0,,0.08,,22,795
"Crustaceans, shrimp, mixed species, cooked, breaded and fried",A,100g,242,21.39,11.47,12.28,0.4,,2.087,,177,344
"Jellyfish, dried, salted",A,100g,36,5.5,0,1.4,0,0,0.273,,5,9690
"Mollusks, cuttlefish, mixed species, raw",A,100g,79,16.24,0.82,0.7,0,,0.118,,112,372
"Crustaceans, crab, blue, raw",A,100g,87,18.06,0.04,1.08,0,,0.222,,78,293
"Crustaceans, crayfish, mixed species, farmed, cooked, moist heat",A,100g,87,17.52,0,1.3,0,,0.216,,137,97
"Mollusks, oyster, Pacific, cooked, moist heat",A,100g,163,18.9,9.9,4.6,0,0,1.02,,100,212
"Mollusks, scallop, mixed species, cooked, breaded and fried",A,100g,215,18.07,10.13,10.94,,,2.669,,61,464
"Crustaceans, shrimp, mixed species, raw",A,100g,106,20.31,0.91,1.73,0,0,0.328,,152,148
"Restaurant, family style, shrimp, breaded and fried",A,100g,294,12.85,20.01,18.1,1,0.74,3.325,0.191,89,853
"Mollusks, clam, mixed species, canned, liquid",A,100g,2,0.4,0.1,0.02,0,0,0.002,,3,215
"Crustaceans, crab, alaska king, imitation, made from surimi",A,100g,95,7.62,15,0.46,0.5,6.25,0.176,,20,841
"Mollusks, octopus, common, cooked, moist heat",A,100g,164,29.82,4.4,2.08,0,0,0.453,,96,460
"Crustaceans, lobster, northern, cooked, moist heat",A,100g,98,20.5,1.28,0.59,0,0,0.107,,72,380
"Fast foods, shrimp, breaded and fried",A,100g,277,11.51,24.39,15.18,,,3.28,,122,882
"Mollusks, scallop, mixed species, raw",A,100g,88,16.78,2.36,0.76,0,0,0.079,,33,161
"Mollusks, clam, mixed species, canned, drained solids",A,100g,148,25.55,5.13,1.95,0,0,0.188,,67,112
"Crustaceans, crab, alaska king, cooked, moist heat",A,100g,97,19.35,0,1.54,0,,0.133,,53,1072
"Mollusks, cuttlefish, mixed species, cooked, moist heat",A,100g,158,32.48,1.64,1.4,0,,0.236,,224,744
"Crustaceans, lobster, northern, raw",A,100g,90,18.8,0.5,0.9,0,0,0.18,,95,296
"Fast foods, scallops, breaded and fried",A,100g,268,10.94,26.73,13.47,,,3.391,,75,638
"Mollusks, oyster, Pacific, raw",A,100g,81,9.45,4.95,2.3,0,,0.51,,50,106
"Mollusks, clam, mixed species, cooked, moist heat",A,100g,148,25.55,5.13,1.95,0,,0.188,,67,112
"Crustaceans, crab, alaska king, raw",A,100g,84,18.29,0,0.6,0,,0.09,,42,836
"Crustaceans, spiny lobster, mixed species, cooked, moist heat",A,100g,143,26.41,3.12,1.94,0,,0.303,,90,227
"Mollusks, clam, mixed species, raw",A,100g,74,12.77,2.57,0.97,0,0,0.094,,34,56
"Crustaceans, crayfish, mixed species, wild, cooked, moist heat",A,100g,82,16.77,0,1.2,0,0,0.181,,133,94
"Fast foods, oysters, battered or breaded, and fried",A,100g,265,9.02,28.69,12.9,,,3.294,,78,487
"Mollusks, oyster, eastern, canned",A,100g,69,7.06,3.91,2.47,0,0,0.631,,55,112
"Mollusks, clam, mixed species, cooked, breaded and fried",A,100g,202,14.24,10.33,11.15,,,2.683,,61,364
"Crustaceans, crab, queen, cooked, moist heat",A,100g,115,23.72,0,1.51,0,,0.183,,71,691
"Mollusks, abalone, mixed species, cooked, fried",A,100g,189,19.63,11.05,6.78,0,,1.646,,94,591
"Crustaceans, crayfish, mixed species, wild, raw",A,100g,77,15.97,0,0.95,0,0,0.159,,114,58
"Entrees, crab cake",A,100g,266,18.75,8.52,17.25,0.4,,3.74,,137,819
"Mollusks, oyster, eastern, wild, cooked, moist heat",A,100g,137,14.1,7.82,4.91,0,,1.544,,105,422
"Crustaceans, crab, dungeness, cooked, moist heat",A,100g,110,22.32,0.95,1.24,0,,0.168,,76,378
"Mollusks, abalone, mixed species, raw",A,100g,105,17.1,6.01,0.76,0,0,0.149,,85,301
"Fast foods, clams, breaded and fried",A,100g,392,11.15,33.75,22.96,,,5.742,,76,725
"Mollusks, oyster, eastern, cooked, breaded and fried",A,100g,197,8.77,11.62,12.58,,,3.197,,81,417
"Crustaceans, crab, queen, raw",A,100g,90,18.5,0,1.18,0,,0.143,,55,539
"Mollusks, whelk, unspecified, cooked, moist heat",A,100g,275,47.68,15.52,0.8,0,,0.062,,130,412
"Crustaceans, spiny lobster, mixed species, raw",A,100g,112,20.6,2.43,1.51,0,,0.237,,70,177
"Mollusks, conch, baked or broiled",A,100g,130,26.3,1.7,1.2,0,0,0.37,,65,153
"Mollusks, oyster, eastern, wild, raw",A,100g,68,7.05,3.91,2.46,0,0,0.772,,53,211
"Crustaceans, crab, dungeness, raw",A,100g,86,17.41,0.74,0.97,0,,0.132,,59,295
"Turtle, green, raw",A,100g,89,19.8,0,0.5,0,0,0.127,,50,68
"Mollusks, whelk, unspecified, raw",A,100g,137,23.84,7.76,0.4,0,0,0.031,,65,206
"Crustaceans, shrimp, mixed species, imitation, made from surimi",A,100g,101,12.39,9.13,1.47,0,,0.29,,36,705
"Mollusks, oyster, eastern, farmed, cooked, dry heat",A,100g,79,7,7.28,2.12,0,,0.683,,38,163
"Mollusks, octopus, common, raw",A,100g,82,14.91,2.2,1.04,0,0,0.227,,48,230
"Crustaceans, crab, blue, crab cakes",A,100g,155,20.21,0.48,7.52,0,,1.483,,150,330
"Mollusks, squid, mixed species, cooked, fried",A,100g,175,17.94,7.79,7.48,0,,1.878,,260,306
"Crustaceans, shrimp, mixed species, canned",A,100g,100,20.42,0,1.36,0,0,0.188,,252,777
"Mollusks, snail, raw",A,100g,90,16.1,2,1.4,0,0,0.361,,50,70
"Mollusks, oyster, eastern, farmed, raw",A,100g,59,5.22,5.53,1.55,0,,0.443,,25,178
"Mollusks, mussel, blue, cooked, moist heat",A,100g,172,23.8,7.39,4.48,0,,0.85,,56,369
"Crustaceans, crab, blue, canned",A,100g,99,20.52,0,1.23,0,0,0.252,,89,333
"Mollusks, squid, mixed species, raw",A,100g,92,15.58,3.08,1.38,0,0,0.358,,233,44
"Crustaceans, shrimp, mixed species, cooked, moist heat",A,100g,99,20.91,0,1.08,0,0,0.289,,195,224
"Mollusks, scallop, (bay and sea), cooked, steamed",A,100g,112,23.2,0,1.4,0,0,0.146,,53,265
"Mollusks, oyster, eastern, wild, cooked, dry heat",A,100g,72,8.25,4.8,1.9,0,,0.55,,49,244
"Mollusks, mussel, blue, raw",A,100g,86,11.9,3.69,2.24,0,0,0.425,,28,286
"Crustaceans, crab, blue, cooked, moist heat",A,100g,102,20.2,0,1.77,0,0,0.228,,100,279
"Crustaceans, crayfish, mixed species, farmed, raw",A,100g,72,14.85,0,0.97,0,,0.163,,107,62
Sea crab,B,100g,95,13.8,4.7,2.3,,,,,125,260
"Red snail, freshwater",B,100g,119,20.2,7.6,0.9,,,,,177,219.6
"Prawn, marine",B,100g,93,18.6,2.8,0.8,,,,,193,165.2
"Scallop, marine",B,100g,77,15.7,2.5,0.5,,,,,116,120
"Mussel, freshwater",B,100g,54,10.9,0.7,0.8,,,,,103,17.4
"Jellyfish head, marine",B,100g,74,6,11.8,0.3,,,,,10,467.7
"Shrimp head paste, marine",B,100g,100,15.2,0,4.3,,,,,249,1790
Snail (Mean),B,100g,100,15.7,6.6,1.2,,,,,,153.3
"“Oriental jumbo” prawn, marine",B,100g,84,18.3,1.6,0.5,,,,,183,133.6
"“Comb-slit” scallop, marine, dried",B,100g,264,55.6,5.1,2.4,,,,,348,306.4
"Infla ark shell, marine",B,100g,61,13.9,0,0.6,,,,,144,266.1
"Jellyfish body, marine",B,100g,33,3.7,3.8,0.3,,,,,8,325
"Shrimp, white, small to medium, dried, marine",B,100g,198,43.7,0,2.6,,,,,525,4891.9
"“Multicolor” surf clam, marine",B,100g,53,7.5,0.7,2.2,,,,,106,494.6
"“Long feeler” prawn, marine",B,100g,90,18.5,3,0.4,,,,,136,208.8
"“Comb-slit” scallop, fan-shell, marine",B,100g,60,11.1,2.6,0.6,,,,,140,339
"Razor clam, marine, dried",B,100g,340,46.5,27.4,4.9,,,,,469,1175
"Japanese sea cucumber, marine, soaked in water",B,100g,25,6,0,0.1,,,,,50,80.9
"Crawfish, freshwater",B,100g,93,14.8,0,3.8,,,,,,225.2
"Surf clam, marine",B,100g,56,8.9,0.8,1.9,,,,,74,577.7
"Prawn “Banjie”, marine",B,100g,103,18.6,5.4,0.8,,,,,148,168.8
Blood ark shell,B,100g,71,10,6,0.8,,,,,124,354.9
"Razor clam, marine",B,100g,40,7.3,2.1,0.3,,,,,131,175.9
"Japanese sea cucumber, marine, dried",B,100g,262,50.2,4.5,4.8,,,,,62,4968
"“Hairy” shrimp, dried, marine",B,100g,153,30.7,2.5,2.2,,,,,428,5057.7
"“Autumn” surf clam, autumn, marine",B,100g,89,15.6,5,0.7,,,,,180,492.3
"Octopus, marine",B,100g,52,10.6,1.4,0.4,,,,,114,288.1
"“White rice”, shrimp, small, freshwater",B,100g,81,17.3,2,0.4,,,,,103,90.7
"Oyster, marine",B,100g,57,10.9,0,1.5,,,,,94,270
"Multicolored abalone, marine, dried",B,100g,322,54.1,13.7,5.6,,,,,,2316.2
"Japanese sea cucumber, fresh, marine",B,100g,78,16.5,2.5,0.2,,,,,51,502.9
"Shrimp, small, freshwater",B,100g,96,21.2,0,1.2,,,,,264,109
“Mogai” clam,B,100g,97,15,7.1,1,,,,,113,363
"Cuttlefish roe, marine",B,100g,66,14.1,0,1.1,,,,,243,126.8
"Multicolored abalone, marine",B,100g,84,12.6,6.6,0.8,,,,,242,2011.7
"“Fragrant” sea snail, marine",B,100g,163,22.7,10.1,3.5,,,,,195,278.9
"Prawn, freshwater",B,100g,85,13.4,3.8,1.8,,,,,273,119
"Venus clam, marine",B,100g,45,7.7,2.2,0.6,,,,,63,309
"Squid, marine, soaked in water",B,100g,75,17,0,0.8,,,,,,134.7
"Blue crab meat, marine",B,100g,62,11.6,1.1,1.2,,,,,65,270
"“Rice-paddy field” snail, globular, freshwater",B,100g,60,11,3.6,0.2,,,,,154,26
"Lobster, marine",B,100g,90,18.9,1,1.1,,,,,121,190
"Clam, marine (Mean)",B,100g,62,10.1,2.8,1.1,,,,,156,425.7
"Squid, marine, dried",B,100g,313,60,7.8,4.6,,,,,871,965.3
"“Swimming” crab, marine",B,100g,95,15.9,0.9,3.1,,,,,142,481.4
“Stone field” snail,B,100g,90,12.8,8.2,0.7,,,,,198,13
"Shrimp “Jiwei”, marine",B,100g,101,18.2,3.9,1.4,,,,,181,172
"Mussel, marine, dried",B,100g,355,47.8,20.1,9.3,,,,,493,779
"Japanese cuttlefish, marine, dried",B,100g,287,65.3,2.1,1.9,,,,,316,1744
Blue crab,B,100g,80,14.6,1.7,1.6,,,,,119,192.9
"Snail, freshwater",B,100g,59,7.5,6,0.6,,,,,86,252.6
"Shrimp, freshwater",B,100g,87,16.4,0,2.4,,,,,240,133.8
"Mussel, marine",B,100g,80,11.4,4.7,1.7,,,,,123,451.4
"“Mitten” crab, freshwater",B,100g,103,17.5,2.3,2.6,,,,,267,193.5
"Yellow snail, globular, freshwater",B,100g,106,19.8,4.5,1,,,,,167,129.4
"Shrimp, marine",B,100g,79,16.8,1.5,0.6,,,,,117,302.2
"Silver ark shell, marine",B,100g,71,12.2,2.3,1.4,,,,,89,280.1
"Clam, freshwater",B,100g,47,7,1.7,1.4,,,,,257,18.4
"Japanese cuttlefish, marine",B,100g,83,15.2,3.4,0.9,,,,,226,165.5
"Squid or calamari, raw",D,100g,78,16.7,0,1.2,0,0,0.31,0.01433,199,284
"Scallop, raw",D,100g,84,15.6,3.4,0.8,0,0.8,0.14,0.00955,42,150
"Prawn, flesh, raw (green)",D,100g,91,20.7,0,0.8,0,0,0.15,0.0008,406,345
"Oyster, aquacultured, raw",D,100g,64,10.1,0.6,2.3,0,0,0.5,0.00515,68,535
"Lobster, southern rock, wild, flesh, purchased steamed or boiled",D,100g,98,22.5,0,0.8,0,0,0.13,0.00092,262,283
"Crab, flesh, purchased steamed or boiled",D,100g,88,20.2,0,0.7,0,0,0.14,0.01012,97,420
"Mantis shrimp, flesh, raw",E,100g,77,17.2,1.9,0.1,,,,,,
"Prawn, giant tiger, boiled",E,100g,78,17.8,0,0.7,0,0,,,178,691
"Prawn, giant tiger, headless, frozen",E,100g,88,20,0,0.9,,0,,,181,114
"Babyfood, fruit, pears and pineapple, junior",A,100g,44,0.3,11.4,0.2,2.6,7.36,0.013,,0,1
"Babyfood, vegetables, sweet potatoes, junior",A,100g,60,1.1,13.9,0.1,1.5,4.24,0.021,,0,22
"Babyfood, cereal, rice, prepared with whole milk",A,100g,85,3.45,10.31,3.38,0,4.87,1.793,,10,42
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",A,100g,59,0.3,16,0,0.6,12.6,0,,0,14
"Babyfood, juice, orange and banana",A,100g,50,0.7,11.9,0.1,,,,,,3
"Babyfood, dinner, vegetables and ham, junior",A,100g,60,2.02,8.65,1.89,1,0.99,0.483,,3,87
"Babyfood, dinner, beef noodle, strained",A,100g,63,2.44,8.18,2.26,1.3,1.42,0.937,,8,15
"Babyfood, dessert, tropical fruit, junior",A,100g,60,0.2,16.4,0,,,,,,7
"Babyfood, dessert, blueberry yogurt, strained",A,100g,77,0.5,17.05,0.7,0.4,13.62,0.452,,4,14
"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",A,100g,74,0.1,20.5,0,1.2,13.64,0,,0,8
"Babyfood, dinner, vegetables and turkey, toddler",A,100g,80,4.8,8,3.4,,0,,,,334
"Babyfood, dinner, broccoli and chicken, junior",A,100g,62,3.59,6.34,2.48,1.4,1.43,0.51,,13,17
"Babyfood, cereal, with egg yolks, junior",A,100g,52,1.9,7.1,1.8,0.9,,0.61,,63,33
"Babyfood, vegetables, sweet potatoes strained",A,100g,57,1.1,13.2,0.1,1.5,4.05,0.021,,0,20
"Babyfood, cereal, oatmeal, with honey, prepared with whole milk",A,100g,115,5,15.3,3.9,,,,,,49
"Babyfood, dessert, fruit pudding, pineapple, strained",A,100g,81,1.3,20.3,0.3,0.7,10.28,0.099,,0,19
"Babyfood, juice, orange and apricot",A,100g,46,0.8,10.9,0.1,0.1,,0.011,,0,6
"Babyfood, dinner, vegetables and ham, strained",A,100g,59,2.19,7.8,2.14,1.6,1.37,0.764,,5,16
"Babyfood, fruit, pears, strained",A,100g,42,0.3,10.8,0.2,3.6,6.98,0.012,,0,2
"Babyfood, ravioli, cheese filled, with tomato sauce",A,100g,99,3.6,16.3,2.2,0.1,0.59,0.96,,7,297
"Babyfood, dessert, peach yogurt",A,100g,76,0.9,17.6,0.18,0.4,6.63,0.117,,4,14
"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",A,100g,71,0.1,19.7,0,1.2,13.34,0,,0,6
"Babyfood, dinner, vegetables and turkey, junior",A,100g,53,1.72,7.55,1.74,0.9,1.36,0.485,,4,89
"Babyfood, dinner, apples and chicken, strained",A,100g,65,2.16,10.87,1.38,1.8,7.9,0.347,,5,12
"Babyfood, cereal, with egg yolks, strained",A,100g,51,1.9,7,1.8,0.9,,0.61,,63,33
"Babyfood, fruit, pears and pineapple, strained",A,100g,41,0.3,10.9,0.1,2.6,7.79,0.007,,0,4
"Babyfood, dessert, fruit pudding, orange, strained",A,100g,80,1.1,17.7,0.9,0.6,,0.545,,3,20
"Babyfood, juice, orange and apple and banana",A,100g,47,0.4,11.5,0.1,0.1,10.03,0.016,,0,4
"Babyfood, dinner, vegetables and bacon, strained",A,100g,69,1.92,8.81,2.95,1.7,1.77,1.063,,4,49
"Babyfood, fruit, peaches, junior",A,100g,65,0.94,14.48,0.33,1.3,11.5,0.02,,0,6
"Babyfood, dinner, macaroni and tomato and beef, junior",A,100g,59,2.5,9.4,1.1,1.1,2.43,0.411,,4,17
"Babyfood, mixed fruit yogurt, strained",A,100g,75,0.8,16.23,0.8,0.4,11.74,0.517,,0,16
"Babyfood, fruit, pears, junior",A,100g,43,0.3,11.6,0.1,3.6,7.34,0.006,,0,2
"Babyfood, dinner, vegetables and turkey, strained",A,100g,48,2.32,7.62,0.9,1.5,1.54,0.236,,4,20
"Babyfood, carrots and beef, strained",A,100g,59,3.4,5.7,2.5,2.6,2.04,0.96,,8,58
"Babyfood, cereal, rice, with applesauce and bananas, strained",A,100g,80,1.2,17.1,0.4,1,2.24,0.114,,0,28
"Babyfood, fruit, bananas and pineapple with tapioca, strained",A,100g,65,0.2,17.8,0,1.6,10.73,0,,0,6
"Babyfood, vegetables, squash, junior",A,100g,24,0.81,5.73,0.2,0.9,3.24,0.02,,0,6
"Babyfood, dessert, cherry vanilla pudding, junior",A,100g,69,0.2,18.4,0.2,0.3,16.98,0.058,,10,15
"Babyfood, juice, orange and apple",A,100g,43,0.4,10.1,0.2,,,,,,3
"Babyfood, fruit, peaches, strained",A,100g,65,0.94,14.48,0.33,1.3,11.5,0.02,,0,6
"Babyfood, dinner, macaroni and tomato and beef, strained",A,100g,61,2.36,9.45,1.47,1.2,2.09,0.486,,7,38
"Babyfood, dinner, chicken and noodle with vegetables, toddler",A,100g,66,3.8,8.89,1.7,0.6,0.82,0.461,,28,186
"Babyfood, dinner, turkey and rice, junior",A,100g,56,2.37,9.57,0.92,1,1.25,0.239,,4,80
"Babyfood, apples with ham, strained",A,100g,62,2.6,10.9,0.9,1.8,7.98,0.25,,8,9
"Babyfood, cereal, rice, dry",A,100g,391,7.1,77.6,4.9,0.5,0.12,0.919,,0,32
"Babyfood, fruit, bananas and pineapple with tapioca, junior",A,100g,68,0.2,18.4,0.1,1.6,8.41,0.036,,0,8
"Babyfood, vegetables, squash, strained",A,100g,28,0.81,5.73,0.2,0.9,3.37,0.02,,0,6
"Babyfood, juice, orange",A,100g,45,0.6,10.2,0.3,0.1,8.26,0.035,,0,1
"Babyfood, fruit, bananas with tapioca, strained",A,100g,56,0.4,15.3,0.1,1.6,0.38,0.035,,0,9
"Babyfood, dinner, beef lasagna, toddler",A,100g,77,4.2,10,2.1,,0,,,,454
"Babyfood, dessert, banana pudding, strained",A,100g,68,1,14.14,0.8,0.8,10.55,0.264,,29,30
"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",A,100g,74,1.3,15.4,0.7,0.8,10.49,0.125,,0,2
"Babyfood, dinner, turkey and rice, strained",A,100g,52,2.27,7.94,1.24,0.9,1.66,0.338,,5,20
"Babyfood, dinner, beef noodle, junior",A,100g,57,2.5,7.4,1.9,1.1,1.45,0.766,,8,17
"Babyfood, cereal, oatmeal, with honey, dry",A,100g,391,13.5,69.3,7,,,,,,47
"Babyfood, fruit, apple and raspberry, junior",A,100g,58,0.2,15.4,0.2,2.1,12.96,0.032,,0,2
"Babyfood, vegetables, carrots, junior",A,100g,32,0.8,7.2,0.2,1.7,3.16,0.036,,0,49
"Babyfood, dessert, cherry vanilla pudding, strained",A,100g,68,0.2,17.8,0.3,0.3,9.15,0.087,,10,16
"Babyfood, fruit, apricot with tapioca, junior",A,100g,63,0.3,17.3,0,1.5,1.4,0,,0,6
"Babyfood, dinner, vegetables and dumplings and beef, junior",A,100g,48,2.1,8,0.8,,0,,,,52
"Babyfood, carrots, toddler",A,100g,26,0.6,5.23,0.3,2.3,2.5,0.052,,0,26
"Babyfood, cereal, oatmeal, with bananas, dry",A,100g,393,12,73.4,6,5.2,13.75,1.267,,0,119
"Babyfood, dinner, vegetables and noodles and turkey, junior",A,100g,52,1.8,7.6,1.5,1.1,,,,,17
"Babyfood, vegetables, mix vegetables strained",A,100g,36,1.2,8.05,0.5,1.5,1.57,0.089,,0,13
"Babyfood, cereal, oatmeal, with applesauce and bananas, junior",A,100g,75,1.3,15.7,0.7,0.8,9.48,0.126,,0,31
"Babyfood, fruit, apple and raspberry, strained",A,100g,58,0.2,15.6,0.2,2.1,12.96,0.033,,0,2
"Babyfood, vegetables, carrots, strained",A,100g,27,0.8,6,0.1,1.7,3.64,0.018,,0,37
"Babyfood, teething biscuits",A,100g,391,10.7,76.4,4.2,1.4,12.65,1.206,0.004,7,362
"Babyfood, juice, apple and prune",A,100g,72,0.2,18,0.1,0.1,10.58,0.018,,0,5
"Babyfood, cereal, brown rice, dry, instant",A,100g,404,8.7,85.65,3,6.5,0.92,0.6,,0,12
"Babyfood, cereal, oatmeal, dry",A,100g,399,13.07,69.65,8,9,3.84,1.37,,0,5
"Babyfood, dinner, vegetables and noodles and turkey, strained",A,100g,44,1.2,6.8,1.2,1.1,,,,,21
"Babyfood, vegetables, mix vegetables junior",A,100g,36,1.4,8.2,0.4,1.5,1.78,0.079,,0,36
"Babyfood, fruit, applesauce and pineapple, junior",A,100g,39,0.1,10.5,0.1,1.5,,0.011,,0,2
"Babyfood, vegetables, beets, strained",A,100g,34,1.3,7.7,0.1,1.9,6.09,0.016,,0,83
"Babyfood, pretzels",A,100g,397,10.8,82.2,2,2.3,3.08,0.316,0.001,0,269
"Babyfood, juice, apple and plum",A,100g,49,0.1,12.3,0,0.1,11.54,0,,0,1
"Babyfood, vegetables, spinach, creamed, strained",A,100g,37,2.5,5.7,1.3,1.8,2.33,0.702,,5,49
"Babyfood, dinner, vegetables and dumplings and beef, strained",A,100g,48,2,7.7,0.9,,0,,,,49
